ID	Name	URL	Regular Price, RUB	Sale Price, RUB	Brand Name
607377342	Чай Curtis Citrus Groove пакетированный (1.5г x 25шт), 37.5г	https://online.metro-cc.ru/products/25shth15g-chay-curtis-citrus-groove-paketirovannyy	99.9	79.9	CURTIS
607387326	Чай черный Basilur Винтажные цветы Цитрусовое наслаждение листовой, 75г	https://online.metro-cc.ru/products/chay-chernyy-basilur-vintazhnye-tsvety-tsitrusovoe-naslazhdenie-listovoy-75g	319	199	BASILUR
550287456	RIOBA Напиток чайный ромашковый (1.2г x 25шт), 30г	https://online.metro-cc.ru/products/rioba-napitok-chaynyy-romashkovyy-12g-x-25	97.9		RIOBA
163589	Чай Milford шиповник (2г х 20 пак), 40г	https://online.metro-cc.ru/products/art_468775	107	99	MILFORD
620107	Чай Чёрный дракон женьшеневый улун, 100г	https://online.metro-cc.ru/products/100g-chyornyj-drakon-zhenshenevyj-ulun	244		ЧЁРНЫЙ ДРАКОН
603139845	Чай зеленый Greenfield Flying Dragon листовой, 100г	https://online.metro-cc.ru/products/100g-chay-zelenyy-greenfield-flying-dragon-listovoy	194		GREENFIELD
451658	Чай Greenfield Rich Ceylon черный (2г x 20шт), 40г	https://online.metro-cc.ru/products/art_592282	166		GREENFIELD
607844888	Чай черный Ahmad Tea Клубника со сливками (1.5г x 25шт), 37.5г	https://online.metro-cc.ru/products/25shth15g-chay-chernyy-ahmad-tea-klubnika-so-slivkami	119	109	AHMAD TEA
6133901	Чай черный Алтайвита со смородиной (2г х 15пак), 30г	https://online.metro-cc.ru/products/chernyj-altajvita-so-smorodinoj-15x2g	131	109	АЛТАЙВИТА
318027211	Чай Just T зеленый China Green Jewel (2г x 20шт), 40г	https://online.metro-cc.ru/products/20h2g-chay-just-t-zelenyy-china-green-jewel-pak	449		JUST T
614561	Чай Curtis Delicate черный (1.7г x 25шт), 43г	https://online.metro-cc.ru/products/25sht-curtis-delikato-chernyj	99.9	79.9	CURTIS
539550	RIOBA Чай Пляжный мохито черный (2г х 20шт), 40г	https://online.metro-cc.ru/products/rioba-plyazhnyj-mohito-chernyj-20-paketikov-h-2-g	275	239	RIOBA
92809	Чай Принцесса Нури черный цейлонский (2г x 100шт), 200г	https://online.metro-cc.ru/products/princessa-nuri-chernyj-cejlonskij-100x2g	239		ПРИНЦЕССА НУРИ
608271127	Чай травяной Ahmad Tea Гибискус-персик-малина (1.8г x 20шт), 36г	https://online.metro-cc.ru/products/20shth18g-chay-travyanoy-ahmad-tea-gibiskuspersikmalina	139	119	AHMAD TEA
8910084	Чай Richard Royal Lemon ароматизированный (1.7г х 25шт), 42г	https://online.metro-cc.ru/products/chay-richard-royal-lemon-paketirovannyy-25-x-17g	111	99.9	RICHARD
313874895	Чай Азерчай черный букет (2г x 25шт), 50г	https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-buket-paketirovannyy	82.9	69.9	АЗЕРЧАЙ
604484840	Чай черный Tess Pleasure шиповник-яблоко листовой, 100г	https://online.metro-cc.ru/products/100g-chay-chernyy-tess-pleasure-shipovnikyabloko-listovoy	139		TESS
607379047	Чай зеленый Niktea Молочный улун пакетированный (2г x 25шт), 50г	https://online.metro-cc.ru/products/25shth2g-chay-zelenyy-niktea-molochnyy-ulun-paketirovannyy	159		NIKTEA
595123	Чай Basilur Китайский чай Молочный улун зеленый, 100г	https://online.metro-cc.ru/products/100g-chaj-basilur-kitajskij-chaj-molochn-ulun	349		BASILUR
614906	Чай Алтайвита Витаминный коктейль травяной, 40г	https://online.metro-cc.ru/products/40g-altajvita-travyanoj-vitamin-koktejl	181	169	АЛТАЙВИТА
607844128	Чай черный Ahmad Tea Персик-маракуйя (1.5г x 25шт), 37.5г	https://online.metro-cc.ru/products/25shth15g-chay-chernyy-ahmad-tea-persikmarakuyya	119	109	AHMAD TEA
619797	Напиток чайный Konigin Herbarium Теплый шарф (1.5г х 20шт), 30г	https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-tyoplyj-sharf	112		KONIGIN HERBARIUM
619242	Напиток чайный Konigin Herbarium Приятная легкость (1.5г х 20шт), 30г	https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-priyatnaya-lyogkost	112		KONIGIN HERBARIUM
538598	Чай Green Panda Загадка Тибета черный пуэр крупнолистовой, 100г	https://online.metro-cc.ru/products/zelenaya-panda-zagadka-tibeta-chernyj-puer-100-g	201		GREEN PANDA
625452	Чай Greenfield Earl grey fantasy черный с бергамотом, 100г	https://online.metro-cc.ru/products/100g-greenfield-earl-grey-listovoj	196		GREENFIELD
550287126	RIOBA Напиток чайный ройбуш ягодный (1.5г x 25шт), 37г	https://online.metro-cc.ru/products/rioba-napitok-chaynyy-roybush-yagodnyy-15g-x-25	121		RIOBA
607377347	Чай черный Richard Energy пакетированный (1.7г x 20шт), 34г	https://online.metro-cc.ru/products/20shth17g-chay-chyornyy-richard-energy-paketirovannyy	113	99.9	RICHARD
411936	Чай Майский черный (2г х 200шт), 400г	https://online.metro-cc.ru/products/chernyj-majskij-v-sashetah-200h2g	629	599	МАЙСКИЙ
498961	Чай Maitre de The Луи Дор черный, 150г	https://online.metro-cc.ru/products/maitre-de-the-lui-dor-chernyj-v-zheleznoj-banke-150-g	659		MAITRE DE THE
607380905	Чай черный Befruitbe ананас-яблоко-мята, 140г	https://online.metro-cc.ru/products/chay-chernyy-befruitbe-ananas-yabloko-myata-140g	669		BEFRUITBE
538346	Чай Green Panda Красный петух крупнолистовой, 100г	https://online.metro-cc.ru/products/zelenaya-panda-krasnyj-petuh-krupnyj-list-100-g	197		GREEN PANDA
126882	Чай Greenfield Golden Ceylon черный крупнолистовой, 100г	https://online.metro-cc.ru/products/100g-chernyj-zolotoj-cejlon-428444	196		GREENFIELD
624002	Напиток чайный Sonnentor Цветки липы, травяной, 35г	https://online.metro-cc.ru/products/napitok-sonnentor-cvetki-lipy-travyanoj-35-g	679		SONNENTOR
473943970	RIOBA Чай зеленый классический (2г x 25шт), 50г	https://online.metro-cc.ru/products/25h2g-chay-rioba-zelenyy-klassicheskiy	94.9		RIOBA
607353689	Чай черный Yantra Ceylon завтрак (2г x 100шт), 200г	https://online.metro-cc.ru/products/chay-chernyy-yantra-ceylon-zavtrak-2g-x-100sht-200g	549		YANTRA
550299066	RIOBA Чай черный классический (2г x 25шт), 50г	https://online.metro-cc.ru/products/rioba-chay-chernyy-klassicheskiy-2g-x-25	105		RIOBA
519720	Чай Richard Royal Ceylon черный, 90г	https://online.metro-cc.ru/products/chernyj-richard-royal-ceylon-90g	145	129	RICHARD
607463796	Чай черный Richman Organic Бергамот среднелистовой (2г x 20шт), 40г	https://online.metro-cc.ru/products/chay-chernyy-richman-organic-bergamot-srednelistovoy-2g-x-20sht-40g	264		RICHMAN
607465521	Чай черный Richman Organic цейлонский среднелистовой (2г x 20шт), 40г	https://online.metro-cc.ru/products/chay-chernyy-richman-organic-tseylonskiy-srednelistovoy-2g-x-20sht-40g	259		RICHMAN
490825	Чай Althaus Deli Packs English Breakfast черный (1.75г x 20шт), 35г	https://online.metro-cc.ru/products/althaus-deli-packs-english-breakfast-20-p-h-175-g	429		ALTHAUS
603139840	Чай черный Greenfield Redberry Crumble пирамидки (1.8г x 20шт), 36г	https://online.metro-cc.ru/products/20shtx18g-chay-chernyy-greenfield-redberry-crumble-piramidki	162		GREENFIELD
259538	Чай Basilur Masala Chai листовой черный, 100г	https://online.metro-cc.ru/products/chernyj-basilur-masala-100g	479		BASILUR
594486	Чай Basilur Китайский чай Молочный улун (1.5г х 100шт), 150г	https://online.metro-cc.ru/products/100x15g-chaj-basilur-kitajskij-molochnyj-ulun	589		BASILUR
550299061	RIOBA Чай черный Эрл грей (2г x 25шт), 50г	https://online.metro-cc.ru/products/rioba-chay-chernyy-erl-grey-2g-x-25	115		RIOBA
473721201	RIOBA Чай зеленый классический (2г x 100шт), 200г	https://online.metro-cc.ru/products/100h2g-chay-rioba-zelenyy-klassicheskiy	479		RIOBA
104867	Чай Ahmad Tea Green Tea зеленый (2г х 25 пак), 50г	https://online.metro-cc.ru/products/ahmad-tea-zelenyj-25h2-g	149		AHMAD TEA
259209	Чай Basilur Белая луна зеленый, 100г	https://online.metro-cc.ru/products/chernyj-basilur-magic-nights-100g	479		BASILUR
623577	Напиток чайный Sonnentor Время ложиться спать травяной, 50г	https://online.metro-cc.ru/products/travyanoj-vremya-lozhitsya-spat-sonnentor-50-g	499		SONNENTOR
607844893	Чай черный Ahmad Tea Магия манго (1.5г x 25шт), 37.5г	https://online.metro-cc.ru/products/25shth15g-chay-chernyy-ahmad-tea-magiya-mango	119	109	AHMAD TEA
240886662	Напиток Nature's Own Factory гречишный чайный банан-клубника, 75г	https://online.metro-cc.ru/products/75g-grechishnyy-chaynyy-napitok-natures-factory-bananklubnika	469	429	NATURE'S OWN FACTORY
240997267	Напиток Nature's Own Factory гречишный чайный груша-ваниль, 75г	https://online.metro-cc.ru/products/75g-grechishnyy-chaynyy-napitok-natures-factory-grushavanil	469	429	NATURE'S OWN FACTORY
607378092	Чай зеленый Richman China Milk Oolong листовой, 100г	https://online.metro-cc.ru/products/100g-chay-zelyonyy-richman-china-milk-oolong-listovoy	255	209	RICHMAN
474377640	RIOBA Чай черный классический (2г x 100шт), 200г	https://online.metro-cc.ru/products/100h2g-chay-rioba-chernyy-klassicheskiy	409		RIOBA
203489	Чай Майский Корона Российской Империи черный крупнолистовой, 100г	https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100g	118	99.9	МАЙСКИЙ
517570	Чай Richard Royal English Breakfast черный (2г х 25шт), 50г	https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-25-paketikov	111	99.9	RICHARD
619087	Чай Чёрный дракон зеленый с жасмином, 100г	https://online.metro-cc.ru/products/100g-chyornyj-drakon-zelyonyj-s-zhasminom	199		ЧЁРНЫЙ ДРАКОН
